
message           极速贷/留言/着陆页

mes_pro_list      内容同产品详情页

index             首页

pro_list          产品中心

login             登陆

register          注册


mem_index         会员中心首页

mem_er_tuiguang   推广返利

mem_worker        我的下家

mem_customer      我的客户

mem_exchange      我的账户

mem_exc_recharge  充值

mem_exc_withdraw  提现

mem_banks_choice  选择银行卡

mem_pre_info      个人资料

mem_banks_list    银行卡列表

mem_banks_show    银行卡详情

mem_banks_add     添加银行卡

mem_banks_zfb     绑定支付宝

mem_banks_wx      绑定微信

mem_safety        账户安全

mem_password      修改密码

mem_question      常见问题

mem_question_show 问题详情

mem_notice        通知消息

